relationship_type,parameter_A,parameter_B,ebm_evidence_label,ebm_shape,existing_spline_label,existing_v2_label,status
single_parameter,MEASURE_ET_Rc_OG142_GN,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_RF_Modeling_Ld,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_RF_Modeling_R_Gs,,INCONCLUSIVE,FLAT,WEAK,MODERATE,EXISTING_ONLY
single_parameter,CATHODE_ET_Rcat_cn_2,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_Load_Pull_P_A_E_Last,,INCONCLUSIVE,FLAT,not_tested,not_tested,INCONCLUSIVE_BOTH
single_parameter,CATHODE_ET_Rcat_cn_3_OW_ST,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RD_K,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF_S12dB_10GHz,,INCONCLUSIVE,FLAT,WEAK,STRONG,EXISTING_ONLY
single_parameter,ANODE_ET_Rsh_an_ct2,,INCONCLUSIVE,FLAT,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE_BOTH
single_parameter,SIN_GATE_ET_Ran_con_1,,INCONCLUSIVE,FLAT,INCONCLUSIVE,STRONG,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SMALL_Vt_gs,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,OHMIC_ET_sh_GA142,,INCONCLUSIVE,FLAT,MODERATE,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_Vgs_back_0p5V,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_LT_SEC_Vd_Id_min,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_Rcat_cn_3,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF2_Ft,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,OHMIC_ET_R314,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,TFRP_ET_Rsh_TFR2,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,FIC_ET_Rc_f_tn_23,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,SIN_GATE_ET_RGAN1,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_RGAN2,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_Big_Vg_optt1,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,SIN_GATE_ET_Rc_an_ct2,,INCONCLUSIVE,FLAT,WEAK,WEAK,INCONCLUSIVE_BOTH
single_parameter,OHMIC_ET_OHMC,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF_S12ang_26GHz,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_C100CapPARCAP,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,VIA_GaN_Height_Ni_height,,INCONCLUSIVE,FLAT,INCONCLUSIVE,MODERATE,EXISTING_ONLY
single_parameter,ANODE_ET_Ran_con_3,,INCONCLUSIVE,FLAT,WEAK,INCONCLUSIVE,INCONCLUSIVE_BOTH
single_parameter,TOPSIN_ET_DC_SMALL_Vds_max_0p1,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_SMALL_Vbgs_0p1,,INCONCLUSIVE,FLAT,WEAK,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_SD3p5,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_PIV_Ids1_QP1,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,THIN_ET_DC_RF_Vbgs_0p1,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,FIN_Etch_Soft_Bias,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_RF_Vds_max,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,BRGM_ET_Probe_Number,,INCONCLUSIVE,FLAT,INCONCLUSIVE,MODERATE,EXISTING_ONLY
single_parameter,THIN_ET_Rsh_an_ct2,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,THIN_ET_C_CAT_2_OW_ST,,INCONCLUSIVE,FLAT,INCONCLUSIVE,WEAK,INCONCLUSIVE_BOTH
single_parameter,MEASURE_ET_DC_SEC_Vds_min_ON,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_RF_Vt_gd,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_SMALL_Vdg_max_0p1,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,TOPSIN_ET_I_5,,INCONCLUSIVE,FLAT,MODERATE,STRONG,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF_S11dB_10GHz,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,FIC_ET_Vds_max,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,ANODE_ET_Rc_an_ct2_OW_CR,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,SIN_ET_DC_RF_Vds_max_0p1mA,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_Load_Pull_PhL_meas,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_SMALL_Vboff,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SMALL_Vbgd1,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Ron_SD3p5,,INCONCLUSIVE,FLAT,WEAK,STRONG,EXISTING_ONLY
