,fold_0,fold_1,fold_2,fold_3,fold_4
MEASURE_ET_C100Cap2pf,0.0037471448182825233,0.0013080452828169511,0.00020492616967423912,0.004942167815849952,8.09033065052374e-06
MEASURE_ET_C100Cap3pf,0.0005030322948568109,0.001648818138081709,6.3877826137701685e-06,0.00021456492865578168,9.071912358210823e-05
MEASURE_ET_C100CapFICBRGM,0.0,1.7812521046058e-05,0.004949956461087398,1.404239607917316e-05,0.004312222195912608
MEASURE_ET_C100CapFICM1,5.212438564085303e-06,0.0014263552784535116,0.0,0.006077720706756582,0.0013697528325315564
MEASURE_ET_C100CapM1BRGM,0.0,0.0,0.0,0.0,0.0
MEASURE_ET_C100CapPARCAP,0.0018417317013199007,0.013661101008529268,0.009503727974447916,0.0031854645648828695,0.01109065810547848
MEASURE_ET_C100CapUSV,0.00303844414307798,0.0017442379533009085,4.385381735432953e-05,0.0006204805836217865,0.0007036948595133404
MEASURE_ET_C100USV_Cappf,0.00016461714715080734,0.0006547298871608931,0.00011540031732478312,0.0028030084061474695,0.0
MEASURE_ET_C175pf,8.096940249524258e-05,0.00045265995931400427,0.0008291350462082771,0.00013129687194348262,0.0001650233757436343
MEASURE_ET_C175pf_0,0.00015358210382574404,0.00018625281470165825,9.370699520213454e-05,0.00033544042334968593,2.7024403271898257e-05
MEASURE_ET_C20,0.00010824403453413543,0.00036577850112281813,0.00034470911343154525,4.6049545250640014e-05,0.0006745791069564732
MEASURE_ET_C200,1.3613918963719187e-05,9.043701479774196e-05,0.00019463276341820016,0.0007695553079454697,0.0002383773192966155
MEASURE_ET_C200_0,0.017347251487422315,0.01186531693626951,0.010793169843206756,0.055458651367215124,0.021336845901336995
MEASURE_ET_C20_0,0.0029167556759685637,0.0017384623358431966,0.0032278973962394752,0.001604368101325996,0.0006291136535692967
MEASURE_ET_C300,0.0,0.003958366655312986,6.317801771631329e-05,0.009030061259247591,0.00016980029133774322
MEASURE_ET_C300FB,4.06431265386361e-06,0.0,0.0,7.096973960016466e-05,0.00019678657048733119
