parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_CapUSV_0,2_shared_node_chaining+3_edge_plus_high_conditional,2.1377,2.1205,0.803,0.0885,0.1052,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,MEASURE_ET_Rc_an_ct2,2_shared_node_chaining+3_edge_plus_high_conditional,2.0761,2.0581,0.869,0.1409,0.1576,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
MEASURE_ET_C300,TOPSIN_ET_lkg_C450pf,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1466,2.1293,0.806,0.0892,0.1058,0.0167,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0167 -- majority but not unanimous.
MEASURE_ET_Vbkdn_CapBig,MEASURE_ET_lkg_C300pf,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1581,2.1416,0.765,0.0772,0.094,0.0167,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0167 -- majority but not unanimous.
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_C300pf,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1154,2.0962,0.906,0.1183,0.135,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
TOPSIN_ET_Cap2pf,TOPSIN_ET_lkg_C300pf,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,2.1392,2.121,0.848,0.096,0.1128,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
MEASURE_ET_C20_0,MEASURE_ET_USV_Cappf,MEASURE_ET_lkg_10,2_shared_node_chaining,2.1171,2.0993,0.842,0.1164,0.1331,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_DC_RD_S22ang_18GHz,TOPSIN_ET_DC_PIV_Ids0_QP3,2_shared_node_chaining,2.2273,2.2073,0.896,0.0221,0.0389,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
MEASURE_ET_lkg_C500pf,SIN_ET_lkg_SY07_10,TOPSIN_ET_CapFICM1_0,2_shared_node_chaining,2.0916,2.0759,0.754,0.1309,0.1476,0.0167,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0167 -- majority but not unanimous.
SIN_ET_DC_RF_Vds_max_0p1mA,SIN_ET_lkg_SY07_10,TOPSIN_ET_lkg_C175pf,2_shared_node_chaining,2.1153,2.0972,0.859,0.1148,0.1315,0.0167,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0167."
