raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
MEASURE_ET_DC_RF_Vg_gm_max_W,4.841608188814302e-05,0.034689899533987,2.94224396890086e-06,1116,1086,938,21.75438596491228,23.859649122807014,34.245614035087726,12.491228070175445,high_agreement
THIN_ET_Rsh_an_ct2_OW_CR,4.732638374194082e-05,0.0141099798493087,5.472782740828519e-06,1117,1176,915,21.684210526315795,17.543859649122805,35.859649122807014,18.31578947368421,moderate_agreement
STREETS_Height_Backside_metal_thickness,4.699789097311912e-05,0.0250495695509016,-1.825337644034697e-07,1118,1120,1131,21.614035087719298,21.47368421052631,20.70175438596491,0.912280701754387,high_agreement
FIC_ET_R_f_hr_1,4.6922025994900686e-05,0.0264462297782301,-1.2326585086580578e-05,1119,1113,1279,21.54385964912281,21.964912280701753,10.315789473684212,11.649122807017541,high_agreement
MEASURE_ET_DC_SEC_Imax,4.6913965930735865e-05,0.0238103899173438,-1.1491403546920465e-06,1120,1128,1151,21.47368421052631,20.912280701754383,19.298245614035093,2.175438596491219,high_agreement
TOPSIN_ET_DC_SMALL_Gm_m0p2,4.681518280704592e-05,0.0323222987353801,3.009694938561625e-05,1121,1093,737,21.403508771929825,23.368421052631582,48.35087719298245,26.947368421052627,moderate_agreement
THIN_ET_DC_RF_n_gs,4.66686065604316e-05,0.0369538401719182,1.2169184441462864e-05,1122,1075,847,21.333333333333336,24.631578947368425,40.63157894736842,19.298245614035082,moderate_agreement
SIN_GATE_ET_R514,4.644415867596298e-05,0.0130760201718658,1.1314957738289832e-06,1123,1185,964,21.26315789473684,16.91228070175439,32.42105263157895,15.508771929824562,moderate_agreement
SIN_ET_DC_RF_Vbgd_0p1,4.579395845999019e-05,0.0215206602588295,5.1234677956174535e-06,1124,1136,918,21.192982456140353,20.350877192982452,35.64912280701754,15.298245614035089,moderate_agreement
FIC_ET_Id_mAmm_at_Vd_cond,4.440268898265499e-05,0.0142831001430749,2.725621918581167e-06,1125,1175,942,21.122807017543856,17.614035087719294,33.96491228070175,16.35087719298246,moderate_agreement
MEASURE_ET_sh_f_tn_23,4.426038995830177e-05,0.0490432090591639,-3.7102747919182112e-06,1126,1035,1193,21.052631578947366,27.438596491228072,16.35087719298246,11.087719298245613,high_agreement
MEASURE_ET_DC_RF_Idss,4.376735052658516e-05,0.050942838890478,-6.134168823701547e-06,1127,1026,1222,20.98245614035088,28.07017543859649,14.315789473684216,13.754385964912274,high_agreement
MEASURE_ET_Load_Pull_PhL_meas,4.3699152242489424e-05,0.0635991599410772,-2.958674831235464e-06,1128,994,1188,20.912280701754383,30.315789473684205,16.701754385964918,13.614035087719287,high_agreement
MEASURE_ET_LT_SEC_Ig_Id_min_mA_mm,4.359616399272552e-05,0.0308145503513515,-2.1861001124898195e-05,1129,1098,1337,20.842105263157894,23.017543859649127,6.245614035087721,16.771929824561404,moderate_agreement
MEASURE_ET_lkg_C385pf,4.356092844117698e-05,0.0206477395258843,1.688534791997598e-05,1130,1143,813,20.771929824561408,19.85964912280702,43.01754385964912,23.157894736842103,moderate_agreement
TOPSIN_ET_R214,4.2584036287169136e-05,0.0210600695572793,-2.387366741393449e-05,1131,1139,1349,20.70175438596491,20.14035087719298,5.403508771929822,15.298245614035089,moderate_agreement
